Count,Total Area,Average Size,%Area,neuron_number,neuron,axon_area_per_neuron,count_per_neuron
1146,164763,143.772,1.03,8,DMV,20595.375,143.25
2842,174727,61.48,1.092,8,LC,21840.875,355.25
2028,212451,104.759,1.328,8,LC,26556.375,253.5
1291,483814,119.143,0.961,8,SN,60476.75,161.375
1825,327782,70.018,0.799,8,SN,40972.75,228.125
1828,28781,15.745,0.18,8,SN,3597.625,228.5
3354,71346,21.272,0.446,8,STR,8918.25,419.25
856,14366,16.783,0.09,8,VTA,1795.75,107
1648,30929,18.768,0.193,8,VTA,3866.125,206
1310,17792,13.582,0.111,8,VTA,2224,163.75
2697,32687,12.12,0.204,8,VTA,4085.875,337.125
1987,173348,87.241,1.083,8,VTA,21668.5,248.375
1146,164763,143.772,1.03,9,DMV,18307,127.33333333333333
1648,30929,18.768,0.193,9,VTA,3436.5555555555557,183.11111111111111
